candidate_id,source_observation_id,source_locator,verbatim_entry,verbatim_identifier,verbatim_title,verbatim_authors,proposed_citekey,proposed_container_or_type,proposed_title,proposed_authors_json,proposed_year,proposed_doi
citation-candidate:sha256:483e4919ba4fc877b424c7c998d8aa3cfb404f6fa13ee7bb6cd3673ef7e79de5,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [1], article pp. 26-28",,,Maintaining Consistency in Layered Architectures of Mobile Ad-Hoc Networks,"Padberg, J.; Hoffmann, K.; Ehrig, H.; Modica, T.; Biermann, E.; Ermel, C.",padbergEtAl2007,,Maintaining Consistency in Layered Architectures of Mobile Ad-Hoc Networks,"[""Padberg, J."",""Hoffmann, K."",""Ehrig, H."",""Modica, T."",""Biermann, E."",""Ermel, C.""]",2007,
citation-candidate:sha256:732472e5f84f979bb8d2003899288f737ff7b82167aea82da50ed1e51a9ea3f4,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [2], article pp. 26-28",,,"Formal Modeling, Simulation, and Validation of Communication Platforms","Modica, T.",modica2012,PhD thesis,"Formal Modeling, Simulation, and Validation of Communication Platforms","[""Modica, T.""]",2012,
citation-candidate:sha256:172f9d8a2ceddc8af07eb11246fa6b1dc7670f76fa3b614b5a84e53d1018d3b6,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [3], article pp. 26-28",,,Interaction on Human-Centric Communication Platforms: Modelling and Analysis Using Algebraic High-Level Nets and Processes,"Gabriel, K.",gabriel2014,PhD thesis,Interaction on Human-Centric Communication Platforms: Modelling and Analysis Using Algebraic High-Level Nets and Processes,"[""Gabriel, K.""]",2014,
citation-candidate:sha256:dff23055967ef9e5834bf4cfe6e610ae06052f31361e96305d884cc0075d0aa5,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [4], article pp. 26-28",,,On Modelling Communication in Ubiquitous Computing Systems Using Algebraic Higher Order Nets,"Gottmann, S.; Nachtigall, N.; Hoffmann, K.",gottmannEtAl2012,ECEASST 51,On Modelling Communication in Ubiquitous Computing Systems Using Algebraic Higher Order Nets,"[""Gottmann, S."",""Nachtigall, N."",""Hoffmann, K.""]",2012,
citation-candidate:sha256:43d12325574ff71e2beb44799e8750ab3d6844e43d5839b5712854fb79ced765,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [5], article pp. 26-28",,,Modellierung und Analyse von Szenarien des Living Place mit rekonfigurierbaren Petrinetzen,"Reiter, F.",reiter2012,Bachelor thesis,Modellierung und Analyse von Szenarien des Living Place mit rekonfigurierbaren Petrinetzen,"[""Reiter, F.""]",2012,
citation-candidate:sha256:c5947f3f448615156f20ba5bf5204426e35cda0f2505e01a660055c61cf90097,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [6], article pp. 26-28",,,Structural and Dynamic Changes in Concurrent Systems: Reconfigurable Petri Nets,"Llorens, M.; Oliver, J.",llorensOliver2004,IEEE Transactions on Computers 53:1147-1158,Structural and Dynamic Changes in Concurrent Systems: Reconfigurable Petri Nets,"[""Llorens, M."",""Oliver, J.""]",2004,10.1109/tc.2004.66
citation-candidate:sha256:2afbf6dd71458b8cc71a7070b1282f4b89bd1421b2894ec19697d30a341e9a6c,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [7], article pp. 26-28",,,Flexible Modeling of Emergency Scenarios Using Reconfigurable Systems,"Hoffmann, K.; Ehrig, H.; Padberg, J.",hoffmannEtAl2008,ECEASST 12,Flexible Modeling of Emergency Scenarios Using Reconfigurable Systems,"[""Hoffmann, K."",""Ehrig, H."",""Padberg, J.""]",2008,
citation-candidate:sha256:cc0b6ad5cf8c56ee94daec456bfd96df042699238dc0bcf112cae4af186647c0,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [8], article pp. 26-28",,,ReConNet: A Tool for Modeling and Simulating with Reconfigurable Place/Transition Nets,"Ede, M.; Hoffmann, K.; Oelker, G.; Padberg, J.",edeEtAl2012,ECEASST 54,ReConNet: A Tool for Modeling and Simulating with Reconfigurable Place/Transition Nets,"[""Ede, M."",""Hoffmann, K."",""Oelker, G."",""Padberg, J.""]",2012,
citation-candidate:sha256:ca1361a6856b3d8ef10d7e0d9d8eb22c5ab9a604c9f3c3cdd2906a921eddec4b,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [9], article pp. 26-28",,,Algebraic High-Level Net Transformation Systems,"Padberg, J.; Ehrig, H.; Ribeiro, L.",padbergEtAl1995,Mathematical Structures in Computer Science 5:217-256,Algebraic High-Level Net Transformation Systems,"[""Padberg, J."",""Ehrig, H."",""Ribeiro, L.""]",1995,10.1017/s0960129500000724
citation-candidate:sha256:c024124bd61a8d23afe06fc3a98918ebfbc6f7a172dac8ebe9aa90c8229933a1,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [10], article pp. 26-28",,,Modelling Evolution of Communication Platforms and Scenarios Based on Transformations of High-Level Nets and Processes,"Gabriel, K.; Ehrig, H.",gabrielEhrig2012,Theoretical Computer Science 429:87-97,Modelling Evolution of Communication Platforms and Scenarios Based on Transformations of High-Level Nets and Processes,"[""Gabriel, K."",""Ehrig, H.""]",2012,10.1016/j.tcs.2011.12.027
citation-candidate:sha256:aac932638fa327a76c088fc66dc0ba6801e71fdb02579510b3639f163e9157c9,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [11], article pp. 26-28",,,Formal Modeling of Communication Platforms Using Reconfigurable Algebraic High-Level Nets,"Modica, T.; Hoffmann, K.",modicaHoffmann2010,ECEASST 30,Formal Modeling of Communication Platforms Using Reconfigurable Algebraic High-Level Nets,"[""Modica, T."",""Hoffmann, K.""]",2010,
citation-candidate:sha256:d0385dd0ac312604c6bbc414519d0e36e023ad9f659ee1ee138d6603eb69e8ee,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [12], article pp. 26-28",,,Formalization of Petri Nets with Individual Tokens as Basis for DPO Net Transformations,"Modica, T.; Gabriel, K.; Hoffmann, K.",modicaEtAl2010,ECEASST 40,Formalization of Petri Nets with Individual Tokens as Basis for DPO Net Transformations,"[""Modica, T."",""Gabriel, K."",""Hoffmann, K.""]",2010,
citation-candidate:sha256:605db7548fd046a583a900bdce578506f7bde0aaed5c3f2da4dc56c5367fa158,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [13], article pp. 26-28",,,Abstract Interleaving Semantics for Reconfigurable Petri Nets,"Padberg, J.",padberg2012,ECEASST 51,Abstract Interleaving Semantics for Reconfigurable Petri Nets,"[""Padberg, J.""]",2012,
citation-candidate:sha256:3a80287df8a0fb3f00c32c389cc649fded71c2d074c3bd9a4269cb877d54ab12,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [14], article pp. 26-28",,,Categorical Frameworks for Graph Transformation and HLR Systems Based on the DPO Approach,"Ehrig, H.; Golas, U.; Hermann, F.",ehrigGolasHermann2010,Bulletin of the EATCS 102:111-121,Categorical Frameworks for Graph Transformation and HLR Systems Based on the DPO Approach,"[""Ehrig, H."",""Golas, U."",""Hermann, F.""]",2010,
citation-candidate:sha256:d11553d8d7eb5bc757bf2eb9fc2483f73401df62409686cccf9a19c95dbf5c82,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [15], article pp. 26-28",,,Fundamentals of Algebraic Graph Transformation,"Ehrig, H.; Ehrig, K.; Prange, U.; Taentzer, G.",ehrigEtAl2006,Book,Fundamentals of Algebraic Graph Transformation,"[""Ehrig, H."",""Ehrig, K."",""Prange, U."",""Taentzer, G.""]",2006,
citation-candidate:sha256:8d48a8075f5edee46d1ec58373900ac8408de97f14e3069053f0319e2d28ba32,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [16], article pp. 26-28",,,Towards Algebraic High-Level Systems as Weak Adhesive HLR Categories,"Prange, U.",prange2008,Electronic Notes in Theoretical Computer Science 203:67-88,Towards Algebraic High-Level Systems as Weak Adhesive HLR Categories,"[""Prange, U.""]",2008,10.1016/j.entcs.2008.10.043
citation-candidate:sha256:d1390a3add224cfeb12411e9e5d09d3408c73fe44bb79f1144219b764689e092,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [17], article pp. 26-28",,,Graph Transformation for Specification and Programming,"Andries, M.; Engels, G.; Habel, A.; Hoffmann, B.; Kreowski, H.; Kuske, S.; Plump, D.; Schürr, A.; Taentzer, G.",andriesEtAl1999,Science of Computer Programming 34:1-54,Graph Transformation for Specification and Programming,"[""Andries, M."",""Engels, G."",""Habel, A."",""Hoffmann, B."",""Kreowski, H."",""Kuske, S."",""Plump, D."",""Schürr, A."",""Taentzer, G.""]",1999,10.1016/s0167-6423(98)00023-9
citation-candidate:sha256:32d0a29cbc93a00e987e5e3229355019106aa1fc8cb58eb0f6d459406a035b9c,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [18], article pp. 26-28",,,High-Level Replacement Units and Their Termination Properties,"Bottoni, P.; Hoffmann, K.; Parisi-Presicce, F.; Taentzer, G.",bottoniEtAl2005,Journal of Visual Languages & Computing 16:485-507,High-Level Replacement Units and Their Termination Properties,"[""Bottoni, P."",""Hoffmann, K."",""Parisi-Presicce, F."",""Taentzer, G.""]",2005,10.1016/j.jvlc.2005.07.001
citation-candidate:sha256:282db2e2d2e0cd67d86401dcf7d0d973602b32028269d673a30cfc7fd640dc44,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [19], article pp. 26-28",,,Undecidable Control Conditions in Graph Transformation Units,"Hölscher, K.; Klempien-Hinrichs, R.; Knirsch, P.",holscherEtAl2008,Electronic Notes in Theoretical Computer Science 195:95-111,Undecidable Control Conditions in Graph Transformation Units,"[""Hölscher, K."",""Klempien-Hinrichs, R."",""Knirsch, P.""]",2008,10.1016/j.entcs.2007.08.028
citation-candidate:sha256:7e6f759ea63a1d65b53f9480d6a244b85cf4e94cae62c4798c7088b31fa29d6a,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,"References [20], article pp. 26-28",,,Stepping from Graph Transformation Units to Model Transformation Units,"Kreowski, H.; Kuske, S.; von Totth, C.",kreowskiEtAl2010,ECEASST 30,Stepping from Graph Transformation Units to Model Transformation Units,"[""Kreowski, H."",""Kuske, S."",""von Totth, C.""]",2010,
