citekey,entry_type,title,year,doi,source_bibliographies,bibliographic_status,reading_status,pdf_status,note_path,pdf_path
kato1995,book,Perturbation Theory for Linear Operators,1995,10.1007/978-3-642-66282-9,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,located-local-copy,20_references/ksdft2effmass/kato1995.md,assets/references/ksdft2effmass/kato1995.pdf
neumaier2004,article,Complete Search in Continuous Global Optimization and Constraint Satisfaction,2004,10.1017/S0962492904000194,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/neumaier2004.md,
mclachlan1947,book,Theory and Application of Mathieu Functions,1947,,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/mclachlan1947.md,
bornOppenheimer1927,article,Zur Quantentheorie der Molekeln,1927,10.1002/andp.19273892002,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/bornOppenheimer1927.md,
giannozzi2020,article,Quantum ESPRESSO toward the Exascale,2020,10.1063/5.0005082,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/giannozzi2020.md,
carnimeo2023,article,Quantum ESPRESSO: One Further Step toward the Exascale,2023,10.1021/acs.jctc.3c00249,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/carnimeo2023.md,
quantumEspressoDocumentation,misc,Documentation for Quantum ESPRESSO,,,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/quantumEspressoDocumentation.md,
wannier90Website,misc,Wannier90,,,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/wannier90Website.md,
tantardini2024,article,Generating and Grading 34 Optimised Norm-Conserving Vanderbilt Pseudopotentials for Actinides and Super-Heavy Elements in the PseudoDojo,2024,10.1016/j.cpc.2023.109002,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/tantardini2024.md,
pseudodojoRepository,misc,PseudoDojo: Python Package to Generate and Validate Pseudopotentials,,,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/pseudodojoRepository.md,
komsa2012,article,Finite-Size Supercell Correction Schemes for Charged Defect Calculations,2012,10.1103/PhysRevB.86.045112,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/komsa2012.md,
li2025mlreview,article,A Critical Review of Machine Learning Interatomic Potentials and Hamiltonian,2025,10.20517/jmi.2025.17,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/li2025mlreview.md,
zou2026mltbReview,article,Review of Machine Learning Tight-Binding Models: Route to Accurate and Scalable Electronic Simulations,2026,10.1088/1674-1056/ae15ef,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/zou2026mltbReview.md,
gu2024deeptb,article,Deep Learning Tight-Binding Approach for Large-Scale Electronic Simulations at Finite Temperatures with Ab Initio Accuracy,2024,10.1038/s41467-024-51006-4,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/gu2024deeptb.md,
deeptbProject2024,misc,DeePTB: Efficient Deep Learning-Based Tight-Binding Approach,2024,,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/deeptbProject2024.md,
